City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
258,tolstoy-yurt,43.4444,45.7722,288.33,88,100,6.0,RU,1728769843
259,conde,-7.2597,-34.9075,298.85,73,20,4.63,BR,1728769844
260,mariental,-24.6333,17.9667,300.66,15,54,4.5,NA,1728769845
261,barcelos,41.5388,-8.6151,290.14,83,1,2.53,PT,1728769846
262,souillac,-20.5167,57.5167,295.36,68,40,7.2,MU,1728769847
263,tateyama,34.9833,139.8667,293.24,81,39,5.3,JP,1728769848
264,lerwick,60.1545,-1.1494,279.8,69,100,11.22,GB,1728769849
265,point fortin,10.1833,-61.6833,302.3,74,100,6.93,TT,1728769560
266,dvurechensk,56.5982,61.0953,262.36,78,13,0.87,RU,1728769851
267,greymouth,-42.4667,171.2,282.52,82,99,1.1,NZ,1728769656
268,paramonga,-10.6667,-77.8333,292.28,78,93,3.86,PE,1728769854
269,byron bay,-28.65,153.6167,291.81,65,98,6.37,AU,1728769855
270,lhasa,29.65,91.1,280.17,64,87,0.19,CN,1728769856
271,nha trang,12.25,109.1833,300.15,90,22,2.38,VN,1728769857
272,tolanaro,-25.0319,46.9987,295.19,73,20,10.8,MG,1728769858
273,awjilah,29.1081,21.2869,301.75,35,0,4.27,LY,1728769860
274,sumbawanga,-7.9667,31.6167,292.39,45,69,3.82,TZ,1728769861
275,aljezur,37.3191,-8.8033,291.68,89,0,4.81,PT,1728769862
276,kudahuvadhoo,2.6708,72.8944,301.31,75,100,8.65,MV,1728769863
277,bridgewater,44.3835,-64.5155,284.97,71,75,12.86,CA,1728769865
278,vorkuta,67.5,64.0,272.77,75,100,7.12,RU,1728769866
279,ladyzhyn,48.685,29.2368,281.05,74,56,4.35,UA,1728769867
280,vecpiebalga,57.0599,25.8127,280.32,71,67,1.22,LV,1728769868
281,camacupa,-12.0167,17.4833,291.31,20,30,0.98,AO,1728769869
282,collie,-33.3667,116.15,281.79,96,2,2.01,AU,1728769870
283,palikir - national government center,6.9248,158.1611,298.56,94,100,2.06,FM,1728769871
